windex10,attend_rate_pct,n
1,94.85166556412248,402
2,97.40635545534315,367
3,92.36381510195324,349
4,97.63038316906231,380
5,97.74012994691941,351
6,93.97351279552664,369
7,93.47355907842439,358
8,93.8777073913867,376
9,93.86541991746839,496
10,92.96726199346055,442
