windex10,progress_disc_rate_pct,n
1,99.15549003015236,407
2,95.14665087391164,378
3,95.66570383514151,359
4,97.435859007785,388
5,93.25760765974198,361
6,93.48785819798525,381
7,96.72826848233117,368
8,94.83083806245027,387
9,96.89671659435213,512
10,94.28714932923383,451
