windex10,avg_books,n
1,6.87448858577302,417
2,7.252452596508801,380
3,7.195130317686669,363
4,7.553432571540325,389
5,7.347647378181005,368
6,7.774521079207493,385
7,7.71757488153234,373
8,7.485117631570388,393
9,7.706974026816194,523
10,8.8915736729366035,455
