variable,coef,se,ci_lower,ci_upper,gap_total,gap_se,label
Jins,-0.105341968,0.022481343,-0.149405401,-0.061278534,-27.6428207,2.017793827,Jins(Qiz bola)
Maktab_ortacha,-13.22794608,0.351741133,-13.9173587,-12.53853346,-27.6428207,2.017793827,Maktabdagi o'rtacha o'zlashtirish
Qishloq,1.48032611,0.339405083,0.815092148,2.145560072,-27.6428207,2.017793827,Qishloq
Mulk_indeksi,-3.458086483,2.842961275,-9.030290582,2.114117615,-27.6428207,2.017793827,Mulk indeksi
Matematika_dars_soni,0.139514989,0.032978987,0.074876174,0.204153803,-27.6428207,2.017793827,Bir haftada matematika darslari soni
Barcha_dars_soati,-1.074522301,0.103593898,-1.277566342,-0.87147826,-27.6428207,2.017793827,Barcha fanlardan dars soatlari soni
Sinf_oquvchi_soni,-0.204884671,0.109585248,-0.419671757,0.009902415,-27.6428207,2.017793827,Matematika fanida sinfdagi o'quvchilar soni
Xususiy_repetitor,0.541038241,0.056290794,0.430708284,0.651368198,-27.6428207,2.017793827,Xususiy repetitorga borish
